"id","profileName","text","date","title","rating","images","helpful","Size","Color"
"RRNW8O8WKON3S","Tabby Katt","Kids hats no longer fit, so we were searching for a new winter hat. This one is great quality, fits perfectly, and we LOVE the color! It's just as pictured, and luckily matches the new winter jacket we got him! At first I thought the cost seemed a bit much, because it is name brand, but I wanted to splurge a little. After receiving the item I can say it is worth it. It's well made, warm, and it seems like it was made to last. One of the best quality hats I've come across yet! I'm happy with my purchase :)","Reviewed in the United States on December 7, 2022","Little brother loves it!",5,"","3","One Size","Cadmium Green/Shadow Marl"
"R2H354V80I4Z9J","Redpawn3","This Carhartt Men's Knit Cuffed Beanie seems to be quality made. If you know a lot about beanies then cool. For those that don’t it feels typical for a knit. It wears comfortably with the food/roll. Except it is ONE SIZE fits ‘most’.I do have a large or bigger than ‘average’ sized head. And having read the reviews was optimistic and gave this a chance.My personal preferences are that this hat is close to what I want, but too small. It’s potentially adequate for a large head (bigger head) IF you don’t mind pulling it down constantly. Or IF you don’t mind unrolling it (leaving a single layer to cover your upper ears.)My experience- basic head turning causes the hat to slowly creepy up and expose the lower portion of ear lobes. Intense shoveling or activity makes the hat creepy up a lot faster.I feel like the hat could be maybe a centimeter or two bigger and then I’d be content.I will keep this hat, and plenty of people in the family could wear it quite comfortably, but for me and my larger/bigger sized head it falls short of contentment.This is a quality hat, but I just want to give a personal perspective on the larger head bigger head reviews. I respectfully disagree that bigger heads or larger sized heads will find this hat meets their needs.","Reviewed in the United States on November 23, 2022","Smaller than desired on large, big, larger, bigger head",4,"","37","One Size","Black"
"R10JKN5868NJ7X","Drea","I want to start by saying this beanie is NOT tight like some other reviewers said. I purchased these for my kids and was weary after reading other reviews says that it fits like the youth size. I 💯 disagree with those reviews, it’s much larger and looser, it fits my normal sized head and my husbands small head. It doesn’t leave lines in my forehead and the extra material on the top of the head is not much when pulled over your ears. At $15 you can’t go wrong. Purchased 2 and will order more.","Reviewed in the United States on December 9, 2022","Best beanie!",5,"","2","One Size","Black"
"RLZGCROKH1BY6","M","As a fairly small-headed woman, this thing is awesome! I love it. I love that it’s a little big because I can fold the back down and up under my bun to keep the hair off my neck. The color is really nice, too. The material could be softer, but it’s not itchy. It’s also pretty easy to clean or peel grass/hay/straw from. I wear it all the time, it covers my ears and keeps my head warm. It’s not as toasty as my Columbia hat with the silver omni heat foil stuff (ultimate hat!), but it’s a solid farm hat. I don’t worry about getting it dirty or washing it, unlike my fancy hat. I’ll probably buy ones for my husband and children.","Reviewed in the United States on November 19, 2022","Men’s… pifft",5,"","12","One Size","North Woods"
"RMCSIE5V8PXV3","KccaseyK","This is my 2nd purchase of this hat, however, I will tell you why at the end of my review, since this this is supposed to be a review for the item itself and not necessarily just about why I purchased the hat.This Hat would actually be a great warm winter Hat for those SD, ND, MN, WI, NY, PA, etc Type winters.As a Man, this is a great winter Hat that fits great and as expected. It actually exceeded my expectations, especially for the fit and wear & tear you will put it through, as it is a Carhartt. Carhartt means, it was made to be USED and not just worn.  Any man will know the difference between wearing something and actually using it.I have about a Medium size to slightly medium-large sized head. Medium because of the shape and size of my head is Medium like anyone else with a medium sized head.  However, the large part is because the vertical length of my head is slightly longer.  Kind of like your shoe size may really be a size 10, however because you may have wide feet you have to get a size 11 just to accommodate the width, if a size 10W isn't available.If you're looking for a Medium sized hat with a little bit of length to it, then this would be the hat to get.Realistically, the hat is slightly a little bigger because of the length and its new.  However for a Man, it's always good to purchase a hat that is slightly bigger than what you presumably need, because you never know what your going to be stuck doing, like a lot of shoveling or out scraping cars when it's ice cold out and you need that extra part/length of the hat to cuff and cover your ears really well to keep them warm and protected.If you put this hat on all the way w/o cuffing it, and wear/pull it all the way down until there is no more to material to pull down, it will reach to about the base of the head/neck, with still a little slack left over.In terms of long term use and durability, this is also another reason why I love this hat.  As it does have slightly a little extra slack to it.  Depending on your purpose, occupation or whatever the heck you'll be doing that you'll be wearing this hat, it can be adjusted in many different positions.You'll also more than likely you'll end up putting it in the wash.  When you wash this hat, I highly recommend washing it only with other winter type articles of clothing, or maybe a small load of shirts or sweaters at most.  Yes, you could wash it with just a regular full load of laundry or anything else, but I don't recommend it if you want this hat to last a long time. Like anything else in this life, If you take care of it, it will take care of you. The best way to dry it would either be to throw it in the dryer for 5 minutes at the most and let it hang dry. However, if you want to dry it in the dryer all the way, put it on very light heat for about 10 to 15 minutes, or just let the dryer run on air dry with no heat for about 20 to 30 minutes. If you drive too much, that will get more worn Out and used then if you were wearing and using it yourself, which means it won't last long.This is my 2nd year purchasing this exact hat, as I still have the 1st hat from last year.  Except this time/year, I purchased 2 more from Amazon.The 1st hat was purchased at a retail location.  Then I found it online at Amazon for a fraction of the price.  I was hesitant at 1st, because the price on Amazon was substantially lower.  However, when I received these from Amazon, upon further examination, it was the same exact one that I purchased at retail.I purchased additonally hats because I have a habit of losing them. When you find a product or item that works well, especially a winter hat, it's a good idea to purchase a few extra ones.If you lose the only one that you have or if you've really got some really good use out of the one that you have had for a long time and you know it's more than likely it's time for you to throw it out, you know it's going to be close to impossible to find another one again that works exactly like the one that you had and grown accustom to that you know that works. We all know that all good things come to an end  it don't last forever. Then before you know it, your stuck having to go from store to store (site-to-site) to try to find a hat that fits or is comfortable, especially in the middle of winter when you just lost your hat. To top it off, you can no longer find that same exact hat. I've been through that before and it sucks.So in closing this is a very good hat, because of the good comfortable fit, durability, longevity and that It will take good care of you; and especially for the price.  You can't beat the price for the brand that you're getting which also makes it easier to buy extra hats.If you're going to buy extra hats, I recommend buying at least 2 or 3 extra or total of 3 or 4 hats. 1 hat for obvious reasons; an extra 1 at home in case you lose 1, 1 extra one for in your car under your seat in case you forget your hat or lose it while you're out and abou, that way you have an extra one in the car when you need it.  Also, 1 hat left at work.  The extra hats in the car or at work also serve a great purpose for helping somebody else out that may not have a hat that clearly needs one.","Reviewed in the United States on October 31, 2015","Very comfortable and warm. Extra length to provide a nice cuff over the ears.",5,"","57","One Size","Black"
"R31GVTN0FQ2TRI","Steffani","Bought this for my husband for when it's cold. He always relies on Carhartt products when it comes to workwear so it only made sense to get the hat. He's bald so in the winter it can get cold for him. I tried it on myself and thought wow this really is great quality. Fit him and I perfect. Soft and stretchy.  Definitely recommend and worth the price!","Reviewed in the United States on December 8, 2022","Always can rely on Carhartt",5,"https://m.media-amazon.com/images/I/81MzaExrYsL.jpg","6","One Size","Navy"
"R3OS508YOORSW4","Vidadetei","I have super sensitive skin and as a female no one hates a breakout on their forehead. I don’t need a giant billboard from my beanie saying hey look at puss filled rash. Well most beanies ends up causing an itchy rash or clogged pores. This one does not. So soft so comfy not a huge Smurf look to it. Have this same one in multiple colors. Highly recommended","Reviewed in the United States on November 27, 2022","Smurf who ? Leave that itch behind",5,"","9","One Size","Brown"
"RBJPZLZPF6GAA","Sand60","Nice knit hat for my teenager and very on trend. I see all of the kids at school wearing these. Really comfortable and does seem to keep his head warm.","Reviewed in the United States on December 9, 2022","Nice knit hat",5,"",1,"One Size","Black"
"R3JF68U0RAWGNI","Reza K.","I bought this in black. I was worried since I have a big head that it might be tight but it is very comfortable. Also, my head gets super itchy with beanies on, but this one feels nice and isn’t itchy.","Reviewed in the United States on December 2, 2022","Comfortable and warm",5,"",1,"One Size","Black"
"R2UX800C5THY7I","Rodrigo Abello","It fits great. Very soft. Wife now does not want to take it off (basically I lost it to her), now ought to buy my own.","Reviewed in the United States on December 10, 2022","Perfect size",5,"",0,"One Size","Black/White"
"R2KH3AZNYP6M9","Joseph","I have several other Carhartt sock hats and have liked them all. They keep my head warm and never feel tight but don't fall off. This particular blaze orange hat kept me from being mistaken as a target! It'll last years.","Reviewed in the United States on December 3, 2022","Highly visible",5,"",1,"One Size","Bright Orange"
"RCWKG0RWQ7B96","HaleyWEEEEEEEEEE","This hat is awesome! Always wanted to try one, finally ordered the bright green/chertreuse color. In the photo it looks less saturated color, almost pastel. Here to tell you it's NOT that color, it's an extremely saturated highlighter yellow. Still a great hat, but I was disappointed in the color. Would give four and three quarters stars if I could. Gave the hat to my husband, he loves it.","Reviewed in the United States on December 8, 2022","Amazing hat! Not the color I expected",4,"","2","One Size","Brite Lime"
"R2CKXVEFDSQJEA","Heather","Love the marked brown color.  All the comfort that Carhartt has provided for years, making wearing a stocking hat in the cold a more pleasurable experience that the poorly executed knock offs.","Reviewed in the United States on December 6, 2022","The classic is still best",5,"",1,"One Size","Dark Brown/Sandstone"
"R3R9MKIA0GAOJ1","Peter M","I spend a lot of time outside walking my dog and as it becomes colder was always looking for a hat that would keep my ears covered. This is the first one that actually does! You should read other reviews which go into more details but every thing I read is accurate. Buy it!!","Reviewed in the United States on November 27, 2022","Been Looking for a hat like this!",5,"",1,"One Size","Black/White"
